olympiad_name,prof_name,pred_name,yrov_name
Всероссийская академическая олимпиада школьников имени В.И. Вернадского,экономика,экономика,I
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",автономные транспортные системы,математика и механика,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",автономные транспортные системы,компьютерные и информационные науки,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",автономные транспортные системы,информатика и вычислительная техника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",автономные транспортные системы,электроника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",автономные транспортные системы,радиотехника и системы связи,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",автономные транспортные системы,машиностроение,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",автономные транспортные системы,техника и технологии наземного транспорта,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",автономные транспортные системы,авиационная и ракетно-космическая техника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",автономные транспортные системы,аэронавигация и эксплуатация авиационной и ракетно-космической техники,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",автономные транспортные системы,управление в технических системах,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотный транспорт: аэрокосмические системы,информатика и вычислительная техника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотный транспорт: аэрокосмические системы,электроника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотный транспорт: аэрокосмические системы,радиотехника и системы связи,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотный транспорт: аэрокосмические системы,фотоника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотный транспорт: аэрокосмические системы,приборостроение,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотный транспорт: аэрокосмические системы,оптические и биотехнические системы и технологии,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотный транспорт: аэрокосмические системы,авиационная и ракетно-космическая техника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотный транспорт: аэрокосмические системы,аэронавигация и эксплуатация авиационной и ракетно-космической техники,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотный транспорт: аэрокосмические системы,управление в технических системах,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотные авиационные системы,информатика и вычислительная техника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотные авиационные системы,электроника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотные авиационные системы,радиотехника и системы связи,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотные авиационные системы,фотоника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотные авиационные системы,приборостроение,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотные авиационные системы,оптические и биотехнические системы и технологии,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотные авиационные системы,авиационная и ракетно-космическая техника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотные авиационные системы,аэронавигация и эксплуатация авиационной и ракетно-космической техники,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",беспилотные авиационные системы,управление в технических системах,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",водные робототехнические системы,информатика и вычислительная техника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",водные робототехнические системы,электроника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",водные робототехнические системы,радиотехника и системы связи,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",водные робототехнические системы,фотоника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",водные робототехнические системы,приборостроение,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",водные робототехнические системы,оптические и биотехнические системы и технологии,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",водные робототехнические системы,авиационная и ракетно-космическая техника,II
