olympiad_name,organizer_name
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное автономное образовательное учреждение высшего образования ""Московский политехнический университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Автономная некоммерческая организация высшего образования ""Национальный институт финансовых рынков и управления"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",Министерство просвещения и воспитания Ульяновской области
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Благовещенский государственный педагогический университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Бурятский государственный университет имени Доржи Банзарова"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное автономное образовательное учреждение высшего образования ""Белгородский государственный национальный исследовательский университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тихоокеанский государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Кемеровский государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Оренбургский государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский Мордовский государственный университет им. Н.П. Огарева"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Смоленский государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Новосибирский государственный университет экономики и управления ""НИНХ"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное автономное образовательное учреждение высшего образования ""Волгоградский государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский государственный национальный исследовательский университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Бюджетное учреждение высшего образования Ханты-Мансийского автономного округа - Югры ""Сургутский государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Чувашский государственный педагогический университет им. И.Я. Яковлева"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное автономное образовательное учреждение высшего образования ""Самарский государственный экономический университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Частное образовательное учреждение высшего образования ""Санкт-Петербургский университет технологий управления и экономики"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Адыгейский государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Автономная некоммерческая организация высшего образования ""Университет мировых цивилизаций имени В.В. Жириновского"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ставропольский государственный аграрный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тверской государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Уфимский государственный нефтяной технический университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ярославский государственный университет им. П.Г. Демидова"""
