"Автономная некоммерческая образовательная организация высшего образования ""Калининградский институт управления"" "; https://www.kiu.ru;short_name
"Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации ""Сибирский университет потребительской кооперации"" "; https://www.sibupk.su;Сибирский университет потребительской кооперации
"Автономная некоммерческая организация высшего образования ""Волгоградский институт бизнеса"" "; https://www.vib-vlg.ru;Волгоградский институт бизнеса
"Автономная некоммерческая организация высшего образования ""Национальный институт финансовых рынков и управления"" ";;Национальный институт финансовых рынков и управления
"Автономная некоммерческая организация высшего образования ""Российский новый университет"" "; https://rosnou.ru;Российский новый университет
"Автономная некоммерческая организация высшего образования ""Университет Иннополис"" "; https://innopolis.university;Университет Иннополис
"Автономная некоммерческая организация высшего образования ""Университет мировых цивилизаций имени В.В. Жириновского"" "; https://umc.edu.ru;Университет мировых цивилизаций имени В.В. Жириновского
"Автономная некоммерческая организация высшего образования ""Центральный университет"" "; https://centraluniversity.ru;Центральный университет
"Аккредитованное образовательное частное учреждение высшего образования ""Московский финансово-юридический университет МФЮА"" "; https://www.mfua.ru;Московский финансово-юридический университет МФЮА
"Бюджетное учреждение высшего образования Ханты-Мансийского автономного округа - Югры ""Сургутский государственный университет"" "; https://www.surgu.ru;Сургутский государственный университет
"Государственное автономное образовательное учреждение высшего образования города Москвы ""Московский городской педагогический университет"" "; https://www.mgpu.ru;Московский городской педагогический университет
"Государственное бюджетное образовательное учреждение Астраханской области высшего образования ""Астраханский государственный архитектурно-строительный университет"" "; https://www.agasu.ru;Астраханский государственный архитектурно-строительный университет
"Государственное образовательное учреждение высшего образования Московской области ""Государственный социально-гуманитарный университет"" "; https://www.gsgu.ru;Государственный социально-гуманитарный университет
Департамент образования и науки города Москвы ; https://www.mos.ru/donm/;Департамент образования и науки города Москвы 
Департамент образования и науки Тюменской области ; https://admtyumen.ru/ogv_ru/society/education/;Департамент образования и науки Тюменской области 
Департамент образования и науки Ханты-Мансийского автономного округа - Югры ; https://depobr.admhmao.ru;Департамент образования и науки Ханты-Мансийского автономного округа - Югры 
Комитет по науке и высшей школе Санкт-Петербурга ; https://knvsh.gov.spb.ru;Комитет по науке и высшей школе Санкт-Петербурга 
Комитет по образованию Санкт-Петербурга ; https://k-obr.spb.ru;Комитет по образованию Санкт-Петербурга 
Министерство науки и высшего образования Российской Федерации ; https://minobrnauki.gov.ru;Министерство науки и высшего образования Российской Федерации 
Министерство образования и науки Мурманской области ; https://minobr.gov-murman.ru;Министерство образования и науки Мурманской области 
Министерство образования и науки Пермского края ; https://minobr.permkrai.ru;Министерство образования и науки Пермского края 
Министерство образования и науки Республики Бурятия ; https://egov-buryatia.ru/minobr/;Министерство образования и науки Республики Бурятия 
Министерство образования и науки Челябинской области ; https://minobr74.ru;Министерство образования и науки Челябинской области 
Министерство образования Иркутской области ; https://irkobl.ru/sites/minobr/;Министерство образования Иркутской области 
Министерство образования Новосибирской области ; https://minobr.nso.ru;Министерство образования Новосибирской области 
"Федеральное государственное автономное образовательное учреждение высшего образования ""Московский политехнический университет"" "; https://mospolytech.ru;Московский политехнический университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Московский физико-технический институт (национальный исследовательский университет)"" "; https://mipt.ru;Московский физико-технический институт (национальный исследовательский университет)
"Федеральное государственное автономное образовательное учреждение высшего образования ""Мурманский арктический университет"" "; https://mauniver.ru;Мурманский арктический университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского"" "; https://www.unn.ru;Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского
"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский технологический университет ""МИСИС"""" "; https://misis.ru;Национальный исследовательский технологический университет 
"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский Томский государственный университет"" "; https://www.tsu.ru;Национальный исследовательский Томский государственный университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский Томский политехнический университет"" "; https://tpu.ru;Национальный исследовательский Томский политехнический университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""" "; https://www.hse.ru;Национальный исследовательский университет 
"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Московский институт электронной техники"""" "; https://www.miet.ru;Национальный исследовательский университет 
"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ИТМО"" "; https://itmo.ru;Национальный исследовательский университет ИТМО
"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский ядерный университет ""МИФИ"""" "; https://mephi.ru;Национальный исследовательский ядерный университет 
"Федеральное государственное автономное образовательное учреждение высшего образования ""Новосибирский национальный исследовательский государственный университет"" "; https://www.nsu.ru;Новосибирский национальный исследовательский государственный университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Омский государственный технический университет"" "; https://omgtu.ru;Омский государственный технический университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский государственный национальный исследовательский университет"" "; https://www.psu.ru;Пермский государственный национальный исследовательский университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский национальный исследовательский политехнический университет"" "; https://pstu.ru;Пермский национальный исследовательский политехнический университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Российский государственный гуманитарный университет"" "; https://www.rsuh.ru;Российский государственный гуманитарный университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина"" "; https://gubkin.ru;Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина
"Федеральное государственное автономное образовательное учреждение высшего образования ""Российский национальный исследовательский медицинский университет имени Н.И. Пирогова"" Министерства здравоохранения Российской Федерации "; https://rsmu.ru;Российский национальный исследовательский медицинский университет имени Н.И. Пирогова
"Федеральное государственное автономное образовательное учреждение высшего образования ""Российский университет дружбы народов имени Патриса Лумумбы"" "; https://www.rudn.ru;Российский университет дружбы народов имени Патриса Лумумбы
"Федеральное государственное автономное образовательное учреждение высшего образования ""Российский университет транспорта"" "; https://rut-miit.ru;Российский университет транспорта
"Федеральное государственное автономное образовательное учреждение высшего образования ""Самарский государственный экономический университет"" "; https://www.sseu.ru;Самарский государственный экономический университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Самарский национальный исследовательский университет имени академика С.П. Королева"" "; https://ssau.ru;Самарский национальный исследовательский университет имени академика С.П. Королева
"Федеральное государственное автономное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет аэрокосмического приборостроения"" "; https://guap.ru;Санкт-Петербургский государственный университет аэрокосмического приборостроения
"Федеральное государственное автономное образовательное учреждение высшего образования ""Санкт-Петербургский государственный электротехнический университет ""ЛЭТИ"" им. В.И. Ульянова (Ленина)"" "; https://etu.ru; им. В.И. Ульянова (Ленина)
"Федеральное государственное автономное образовательное учреждение высшего образования ""Санкт-Петербургский политехнический университет Петра Великого"" "; https://www.spbstu.ru;Санкт-Петербургский политехнический университет Петра Великого
"Федеральное государственное автономное образовательное учреждение высшего образования ""Севастопольский государственный университет"" "; https://www.sevsu.ru;Севастопольский государственный университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Северный (Арктический) федеральный университет имени М.В. Ломоносова"" "; https://narfu.ru;Северный (Арктический) федеральный университет имени М.В. Ломоносова
"Федеральное государственное автономное образовательное учреждение высшего образования ""Северо-Восточный федеральный университет имени М.К. Аммосова"" "; https://www.s-vfu.ru;Северо-Восточный федеральный университет имени М.К. Аммосова
"Федеральное государственное автономное образовательное учреждение высшего образования ""Северо-Кавказский федеральный университет"" "; https://ncfu.ru;Северо-Кавказский федеральный университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Сибирский федеральный университет"" "; https://www.sfu-kras.ru;Сибирский федеральный университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Томский государственный университет систем управления и радиоэлектроники"" "; https://tusur.ru;Томский государственный университет систем управления и радиоэлектроники
"Федеральное государственное автономное образовательное учреждение высшего образования ""Тюменский государственный университет"" "; https://www.utmn.ru;Тюменский государственный университет
"Федеральное государственное автономное образовательное учреждение высшего образования ""Уральский федеральный университет имени первого Президента России Б.Н. Ельцина"" "; https://urfu.ru;Уральский федеральный университет имени первого Президента России Б.Н. Ельцина
"Федеральное государственное автономное образовательное учреждение высшего образования ""Южно-Уральский государственный университет (национальный исследовательский университет)"" "; https://www.susu.ru;Южно-Уральский государственный университет (национальный исследовательский университет)
"Федеральное государственное автономное образовательное учреждение высшего образования ""Южный федеральный университет"" "; https://sfedu.ru;Южный федеральный университет
Федеральное государственное автономное образовательное учреждение высшего образования Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения Российской Федерации (Сеченовский Университет) ; https://www.sechenov.ru;Федеральное государственное автономное образовательное учреждение высшего образования Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения Российской Федерации (Сеченовский Университет) 
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Адыгейский государственный университет"" "; https://www.adygnet.ru;Адыгейский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Алтайский государственный педагогический университет"" "; https://www.altspu.ru;Алтайский государственный педагогический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Алтайский государственный технический университет им. И.И. Ползунова"" "; https://www.altstu.ru;Алтайский государственный технический университет им. И.И. Ползунова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Алтайский государственный университет"" "; https://www.asu.ru;Алтайский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Амурский государственный университет"" "; https://www.amursu.ru;Амурский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Байкальский государственный университет"" "; https://www.bgu.ru;Байкальский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова"" "; https://voenmeh.ru;Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Белгородский государственный технологический университет им. В.Г. Шухова"" "; https://www.bstu.ru;Белгородский государственный технологический университет им. В.Г. Шухова
